"Gene","Accession","HGNC"
"Mtmr11","ENSMUSG00000045934","MTMR11"
"Sf3b4","ENSMUSG00000068856","SF3B4"
"Sv2a","ENSMUSG00000038486","SV2A"
"Hist2h2ab","ENSMUSG00000063689","Hist2h2ab"
"Hist2h2be","ENSMUSG00000068854","Hist2h2be"
"Gm20632","ENSMUSG00000093577","Gm20632"
"Hist2h2aa1","ENSMUSG00000064220","Hist2h2aa1"
"Hist2h3c1","ENSMUSG00000093769","Hist2h3c1"
"Hist2h3b","ENSMUSG00000074403","Hist2h3b"
"Gm42743","ENSMUSG00000050936","Gm42743"
"Platr30","ENSMUSG00000097851","Platr30"
"Txnip","ENSMUSG00000038393","TXNIP"
"Gm16253","ENSMUSG00000087610","Gm16253"
"Ankrd34a","ENSMUSG00000049097","ANKRD34A"
"Lix1l","ENSMUSG00000049288","LIX1L"
"Rbm8a","ENSMUSG00000038374","RBM8A"
"Pex11b","ENSMUSG00000028102","PEX11B"
"Itga10","ENSMUSG00000090210","ITGA10"
"Ankrd35","ENSMUSG00000038354","ANKRD35"
"Pias3","ENSMUSG00000028101","PIAS3"
"Rnf115","ENSMUSG00000028098","RNF115"
"Pdzk1","ENSMUSG00000038298","PDZK1"
"Acp6","ENSMUSG00000028093","ACP6"
"Fmo5","ENSMUSG00000028088","FMO5"
"Prkab2","ENSMUSG00000038205","PRKAB2"
"Gm31305","ENSMUSG00000105245","Gm31305"
"Sec22b","ENSMUSG00000027879","SEC22B"
"Gm5544","ENSMUSG00000074388","Gm5544"
"Notch2","ENSMUSG00000027878","NOTCH2"
"Adam30","ENSMUSG00000043468","ADAM30"
"Reg4","ENSMUSG00000027876","REG4"
"Zfp697","ENSMUSG00000050064","ZNF697"
"Wars2","ENSMUSG00000004233","WARS2"
"Tbx15","ENSMUSG00000027868","TBX15"
"Gdap2","ENSMUSG00000027865","GDAP2"
"Gm12474","ENSMUSG00000053957","Gm12474"
"Trim45","ENSMUSG00000033233","TRIM45"
"Igsf3","ENSMUSG00000042035","IGSF3"
"Nhlh2","ENSMUSG00000048540","NHLH2"
"Casq2","ENSMUSG00000027861","CASQ2"
"A230001M10Rik","ENSMUSG00000105891","A230001M10Rik"
"Ngf","ENSMUSG00000027859","NGF"
"Tspan2","ENSMUSG00000027858","TSPAN2"
"Sike1","ENSMUSG00000027854","SIKE1"
"Csde1","ENSMUSG00000068823","CSDE1"
"Nras","ENSMUSG00000027852","NRAS"
"Gm43062","ENSMUSG00000104671","Gm43062"
"Ampd1","ENSMUSG00000070385","AMPD1"
"Dennd2c","ENSMUSG00000007379","DENND2C"
"Bcas2","ENSMUSG00000005687","BCAS2"
"Trim33","ENSMUSG00000033014","TRIM33"
"Syt6","ENSMUSG00000027849","SYT6"
"Gm15886","ENSMUSG00000085754","Gm15886"
"Ap4b1","ENSMUSG00000032952","AP4B1"
"Bcl2l15","ENSMUSG00000044165","BCL2L15"
"Ptpn22","ENSMUSG00000027843","PTPN22"
"Rsbn1","ENSMUSG00000044098","RSBN1"
"Phtf1","ENSMUSG00000058388","PHTF1"
"Slc16a1","ENSMUSG00000032902","SLC16A1"
"Ppm1j","ENSMUSG00000002228","PPM1J"
"Rhoc","ENSMUSG00000002233","RHOC"
"St7l","ENSMUSG00000045576","ST7L"
"Gm40117","ENSMUSG00000105355","Gm40117"
"Kcnd3","ENSMUSG00000040896","KCND3"
"Inka2","ENSMUSG00000048458","INKA2"
"Gm5547","ENSMUSG00000104835","Gm5547"
"Tmigd3","ENSMUSG00000074344","TMIGD3"
"Wdr77","ENSMUSG00000000561","WDR77"
"Ovgp1","ENSMUSG00000074340","OVGP1"
"Gm42722","ENSMUSG00000106093","Gm42722"
"Chia1","ENSMUSG00000062778","Chia1"
"Dennd2d","ENSMUSG00000027901","DENND2D"
"Dram2","ENSMUSG00000027900","DRAM2"
"Lrif1","ENSMUSG00000056260","LRIF1"
"AI504432","ENSMUSG00000056145","AI504432"
"Kcna2","ENSMUSG00000040724","KCNA2"
"Lamtor5","ENSMUSG00000087260","LAMTOR5"
"Slc16a4","ENSMUSG00000027896","SLC16A4"
"Gstm5","ENSMUSG00000004032","GSTM3"
"Gm12500","ENSMUSG00000056411","Gm12500"
"Gnat2","ENSMUSG00000009108","GNAT2"
"Gm12524","ENSMUSG00000085318","Gm12524"
"Amigo1","ENSMUSG00000050947","AMIGO1"
"Psma5","ENSMUSG00000068749","PSMA5"
"Sort1","ENSMUSG00000068747","SORT1"
"Gm12525","ENSMUSG00000078601","Gm12525"
"Psrc1","ENSMUSG00000068744","PSRC1"
"1700013F07Rik","ENSMUSG00000027886","C1orf194"
"Taf13","ENSMUSG00000048100","TAF13"
"Wdr47","ENSMUSG00000040389","WDR47"
"Clcc1","ENSMUSG00000027884","CLCC1"
"Aknad1","ENSMUSG00000049565","AKNAD1"
"Henmt1","ENSMUSG00000045662","HENMT1"
"Gm43221","ENSMUSG00000106108","Gm43221"
"Slc25a24","ENSMUSG00000040322","SLC25A24"
"Vav3","ENSMUSG00000033721","VAV3"
"C130013H08Rik","ENSMUSG00000105509","C130013H08Rik"
"Col11a1","ENSMUSG00000027966","COL11A1"
"Gm9889","ENSMUSG00000052769","Gm9889"
"Dph5","ENSMUSG00000033554","DPH5"
"Extl2","ENSMUSG00000027963","EXTL2"
"Gm43109","ENSMUSG00000104653","Gm43109"
"Gm29151","ENSMUSG00000106005","Gm29151"
"Dbt","ENSMUSG00000000340","DBT"
"Lrrc39","ENSMUSG00000027961","LRRC39"
"Sass6","ENSMUSG00000027959","SASS6"
"Gm42457","ENSMUSG00000105339","Gm42457"
"4930512P04Rik","ENSMUSG00000106125","4930512P04Rik"
"Frrs1","ENSMUSG00000033386","FRRS1"
"Plppr5","ENSMUSG00000033342","PLPPR5"
"Gm26871","ENSMUSG00000097311","Gm26871"
"Dpyd","ENSMUSG00000033308","DPYD"
"Alg14","ENSMUSG00000039887","ALG14"
"Cnn3","ENSMUSG00000053931","CNN3"
"A530020G20Rik","ENSMUSG00000097124","A530020G20Rik"
"F3","ENSMUSG00000028128","F3"
"Arhgap29","ENSMUSG00000039831","ARHGAP29"
"Abca4","ENSMUSG00000028125","ABCA4"
"Gclm","ENSMUSG00000028124","GCLM"
"Dnttip2","ENSMUSG00000039756","DNTTIP2"
"Bcar3","ENSMUSG00000028121","BCAR3"
"Pde5a","ENSMUSG00000053965","PDE5A"
"Fabp2","ENSMUSG00000023057","FABP2"
"1810037I17Rik","ENSMUSG00000054091","C4orf3"
"Sec24d","ENSMUSG00000039234","SEC24D"
"Prss12","ENSMUSG00000027978","PRSS12"
"Tram1l1","ENSMUSG00000044528","TRAM1L1"
"Ndst4","ENSMUSG00000027971","NDST4"
"Arsj","ENSMUSG00000046561","ARSJ"
"Camk2d","ENSMUSG00000053819","Camk2d"
"Gm16958","ENSMUSG00000097456","Gm16958"
"Zgrf1","ENSMUSG00000051278","Zgrf1"
"Tifa","ENSMUSG00000046688","TIFA"
"Gm43653","ENSMUSG00000105447","Gm43653"
"9830132P13Rik","ENSMUSG00000104763","9830132P13Rik"
"Pitx2","ENSMUSG00000028023","Pitx2"
"Elovl6","ENSMUSG00000041220","ELOVL6"
"Cfi","ENSMUSG00000058952","CFI"
"Pla2g12a","ENSMUSG00000027999","PLA2G12A"
"Casp6","ENSMUSG00000027997","CASP6"
"Col25a1","ENSMUSG00000058897","COL25A1"
"Gm42997","ENSMUSG00000105789","Gm42997"
"Lef1","ENSMUSG00000027985","LEF1"
"4930534D22Rik","ENSMUSG00000097761","4930534D22Rik"
"Papss1","ENSMUSG00000028032","PAPSS1"
"Dkk2","ENSMUSG00000028031","DKK2"
"Tbck","ENSMUSG00000028030","TBCK"
"Ints12","ENSMUSG00000028016","INTS12"
"Ppa2","ENSMUSG00000028013","PPA2"
"Gm42567","ENSMUSG00000105085","Gm42567"
"Gm30648","ENSMUSG00000106139","Gm30648"
"Cxxc4","ENSMUSG00000044365","CXXC4"
"Cenpe","ENSMUSG00000045328","CENPE"
"Bdh2","ENSMUSG00000028167","BDH2"
"Slc9b2","ENSMUSG00000037994","SLC9B2"
"Slc9b1","ENSMUSG00000050150","SLC9B1"
"Ube2d3","ENSMUSG00000078578","Ube2d3"
"Manba","ENSMUSG00000028164","MANBA"
"Slc39a8","ENSMUSG00000053897","SLC39A8"
"Ppp3ca","ENSMUSG00000028161","PPP3CA"
"Gm567","ENSMUSG00000104610","Gm567"
"Emcn","ENSMUSG00000054690","EMCN"
"Ddit4l","ENSMUSG00000046818","DDIT4L"
"H2afz","ENSMUSG00000037894","H2afz"
"Dnajb14","ENSMUSG00000074212","DNAJB14"
"Lamtor3","ENSMUSG00000091512","LAMTOR3"
"1110002E22Rik","ENSMUSG00000090066","C4orf54"
"Trmt10a","ENSMUSG00000004127","TRMT10A"
"Adh7","ENSMUSG00000055301","ADH7"
"Adh1","ENSMUSG00000074207","ADH1B"
"Adh5","ENSMUSG00000028138","ADH5"
"Eif4e","ENSMUSG00000028156","EIF4E"
"Tspan5","ENSMUSG00000028152","TSPAN5"
"Unc5c","ENSMUSG00000059921","UNC5C"
"Gbp5","ENSMUSG00000105504","GBP5"
"Gbp7","ENSMUSG00000040253","GBP4"
"Gbp3","ENSMUSG00000028268","Gbp3"
"Gbp2","ENSMUSG00000028270","GBP2"
"Kyat3","ENSMUSG00000040213","KYAT3"
"Gtf2b","ENSMUSG00000028271","GTF2B"
"Gm43646","ENSMUSG00000106550","Gm43646"
"4930519L02Rik","ENSMUSG00000105652","4930519L02Rik"
"Gm43447","ENSMUSG00000106266","Gm43447"
"Selenof","ENSMUSG00000037072","SELENOF"
"Odf2l","ENSMUSG00000028256","ODF2L"
"Col24a1","ENSMUSG00000028197","Col24a1"
"Znhit6","ENSMUSG00000074182","ZNHIT6"
"Gm17501","ENSMUSG00000097183","Gm17501"
"Ddah1","ENSMUSG00000028194","DDAH1"
"Bcl10","ENSMUSG00000028191","BCL10"
"2410004B18Rik","ENSMUSG00000036873","C1orf52"
"Syde2","ENSMUSG00000036863","SYDE2"
"Mcoln3","ENSMUSG00000036853","MCOLN3"
"Mcoln2","ENSMUSG00000011008","MCOLN2"
"Lpar3","ENSMUSG00000036832","LPAR3"
"Ssx2ip","ENSMUSG00000036825","SSX2IP"
"Ctbs","ENSMUSG00000028189","CTBS"
"Gng5","ENSMUSG00000068523","Gng5"
"Uox","ENSMUSG00000028186","Uox"
"Gm16325","ENSMUSG00000085810","Gm16325"
"Ttll7","ENSMUSG00000036745","TTLL7"
"Gm43573","ENSMUSG00000104786","Gm43573"
"Gm43572","ENSMUSG00000105876","Gm43572"
"4930555A03Rik","ENSMUSG00000106157","4930555A03Rik"
"Adgrl4","ENSMUSG00000039167","ADGRL4"
"Gm31881","ENSMUSG00000105698","Gm31881"
"Fubp1","ENSMUSG00000028034","FUBP1"
"Usp33","ENSMUSG00000025437","USP33"
"Zzz3","ENSMUSG00000039068","ZZZ3"
"AI115009","ENSMUSG00000097745","AI115009"
"Pigk","ENSMUSG00000039047","PIGK"
"Asb17","ENSMUSG00000038997","ASB17"
"Gm43400","ENSMUSG00000105820","Gm43400"
"Slc44a5","ENSMUSG00000028360","SLC44A5"
"Cryz","ENSMUSG00000028199","CRYZ"
"Erich3","ENSMUSG00000078161","ERICH3"
"Lrriq3","ENSMUSG00000028182","LRRIQ3"
"Negr1","ENSMUSG00000040037","NEGR1"
"Zranb2","ENSMUSG00000028180","ZRANB2"
"Ptger3","ENSMUSG00000040016","PTGER3"
"1810013D15Rik","ENSMUSG00000028177","1810013D15Rik"
"Ankrd13c","ENSMUSG00000039988","ANKRD13C"
"Lrrc40","ENSMUSG00000063052","LRRC40"
"Depdc1a","ENSMUSG00000028175","DEPDC1"
"Wls","ENSMUSG00000028173","WLS"
"Tmem68","ENSMUSG00000028232","TMEM68"
"Rps20","ENSMUSG00000028234","RPS20"
"Plag1","ENSMUSG00000003282","PLAG1"
"Gm11808","ENSMUSG00000068240","Gm11808"
"Penk","ENSMUSG00000045573","PENK"
"Impad1","ENSMUSG00000066324","Impad1"
"Nsmaf","ENSMUSG00000028245","NSMAF"
"Tox","ENSMUSG00000041272","TOX"
"Car8","ENSMUSG00000041261","CA8"
"Asph","ENSMUSG00000028207","ASPH"
"Plekhf2","ENSMUSG00000049969","PLEKHF2"
"Ndufaf6","ENSMUSG00000050323","NDUFAF6"
"Ints8","ENSMUSG00000040738","INTS8"
"Dpy19l4","ENSMUSG00000045205","DPY19L4"
"Esrp1","ENSMUSG00000040728","ESRP1"
"Gm11831","ENSMUSG00000086625","Gm11831"
"Pdp1","ENSMUSG00000049225","PDP1"
"Tmem67","ENSMUSG00000049488","TMEM67"
"Fam92a","ENSMUSG00000028218","Fam92a"
"Slc26a7","ENSMUSG00000040569","SLC26A7"
"Lrrc69","ENSMUSG00000023151","LRRC69"
"Otud6b","ENSMUSG00000040550","OTUD6B"
"Necab1","ENSMUSG00000040536","NECAB1"
"Decr1","ENSMUSG00000028223","DECR1"
"Osgin2","ENSMUSG00000041153","OSGIN2"
"Ripk2","ENSMUSG00000041135","RIPK2"
"Cpne3","ENSMUSG00000028228","CPNE3"
"Wwp1","ENSMUSG00000041058","WWP1"
"Atp6v0d2","ENSMUSG00000028238","ATP6V0D2"
"Nkain3","ENSMUSG00000055761","NKAIN3"
"Prdm13","ENSMUSG00000040478","PRDM13"
"Tstd3","ENSMUSG00000028251","Tstd3"
"Pou3f2","ENSMUSG00000095139","POU3F2"
"Klhl32","ENSMUSG00000040387","KLHL32"
"C230012O17Rik","ENSMUSG00000046219","C230012O17Rik"
"Ufl1","ENSMUSG00000040359","UFL1"
"Fut9","ENSMUSG00000055373","FUT9"
"Manea","ENSMUSG00000040520","MANEA"
"Bach2os","ENSMUSG00000086150","Bach2os"
"Ankrd6","ENSMUSG00000040183","ANKRD6"
"4933421O10Rik","ENSMUSG00000085037","4933421O10Rik"
"Pm20d2","ENSMUSG00000054659","PM20D2"
"Pnrc1","ENSMUSG00000040128","PNRC1"
"Gm11934","ENSMUSG00000086127","Gm11934"
"Spaca1","ENSMUSG00000028264","SPACA1"
"Orc3","ENSMUSG00000040044","ORC3"
"Slc35a1","ENSMUSG00000028293","SLC35A1"
"Cfap206","ENSMUSG00000028294","CFAP206"
"Gm136","ENSMUSG00000071015","C6orf163"
"Smim8","ENSMUSG00000028295","SMIM8"
"Zfp292","ENSMUSG00000039967","ZNF292"
"Mob3b","ENSMUSG00000073910","MOB3B"
"C9orf72","ENSMUSG00000028300","C9orf72"
"Lingo2","ENSMUSG00000045083","LINGO2"
"Ddx58","ENSMUSG00000040296","DDX58"
"Topors","ENSMUSG00000036822","TOPORS"
"Ndufb6","ENSMUSG00000071014","NDUFB6"
"Aptx","ENSMUSG00000028411","APTX"
"Smu1","ENSMUSG00000028409","SMU1"
"B4galt1","ENSMUSG00000028413","B4GALT1"
"Bag1","ENSMUSG00000028416","BAG1"
"Aqp7","ENSMUSG00000028427","AQP7"
"Aqp3","ENSMUSG00000028435","AQP3"
"Nol6","ENSMUSG00000028430","NOL6"
"Ubap2","ENSMUSG00000028433","UBAP2"
"Dcaf12","ENSMUSG00000028436","DCAF12"
"Kif24","ENSMUSG00000028438","KIF24"
"Myorg","ENSMUSG00000046312","MYORG"
"1110017D15Rik","ENSMUSG00000028441","C9orf24"
"Fam219a","ENSMUSG00000028439","FAM219A"
"Enho","ENSMUSG00000028445","ENHO"
"Cntfr","ENSMUSG00000028444","CNTFR"
"Rpp25l","ENSMUSG00000036114","RPP25L"
"Dctn3","ENSMUSG00000028447","DCTN3"
"Arid3c","ENSMUSG00000066224","ARID3C"
"Sigmar1","ENSMUSG00000036078","SIGMAR1"
"Ccl27a-2","ENSMUSG00000073888","Ccl27a-2"
"Vcp","ENSMUSG00000028452","VCP"
"Fancg","ENSMUSG00000028453","FANCG"
"Pigo","ENSMUSG00000028454","PIGO"
"Stoml2","ENSMUSG00000028455","STOML2"
"Fam214b","ENSMUSG00000036002","FAM214B"
"Fam166b","ENSMUSG00000042788","FAM166B"
"Cd72","ENSMUSG00000028459","CD72"
"Rmrp","ENSMUSG00000115420","Rmrp"
"Arhgef39","ENSMUSG00000051517","ARHGEF39"
"Gm12454","ENSMUSG00000087142","Gm12454"
"Tpm2","ENSMUSG00000028464","TPM2"
"Tln1","ENSMUSG00000028465","TLN1"
"Gba2","ENSMUSG00000028467","GBA2"
"Gm12473","ENSMUSG00000086043","Gm12473"
"Spag8","ENSMUSG00000066196","SPAG8"
"Hint2","ENSMUSG00000028470","HINT2"
"Fam221b","ENSMUSG00000043633","FAM221B"
"Gne","ENSMUSG00000028479","GNE"
"Rnf38","ENSMUSG00000035696","RNF38"
"Pax5","ENSMUSG00000014030","PAX5"
"Zbtb5","ENSMUSG00000049657","ZBTB5"
"Fbxo10","ENSMUSG00000048232","FBXO10"
"Tomm5","ENSMUSG00000078713","Tomm5"
"Exosc3","ENSMUSG00000028322","EXOSC3"
"Slc25a51","ENSMUSG00000045973","SLC25A52"
"Shb","ENSMUSG00000044813","SHB"
"Gm12409","ENSMUSG00000085876","Gm12409"
"Igfbpl1","ENSMUSG00000035551","IGFBPL1"
"Tstd2","ENSMUSG00000035495","TSTD2"
"Xpa","ENSMUSG00000028329","XPA"
"Trmo","ENSMUSG00000028331","TRMO"
"Trim14","ENSMUSG00000039853","TRIM14"
"Coro2a","ENSMUSG00000028337","CORO2A"
"Tbc1d2","ENSMUSG00000039813","TBC1D2"
"Gabbr2","ENSMUSG00000039809","GABBR2"
"Anks6","ENSMUSG00000066191","ANKS6"
"Alg2","ENSMUSG00000039740","ALG2"
"Erp44","ENSMUSG00000028343","ERP44"
"Tex10","ENSMUSG00000028345","TEX10"
"Acnat1","ENSMUSG00000070985","Acnat1"
"Baat","ENSMUSG00000039653","BAAT"
"Mrpl50","ENSMUSG00000044018","MRPL50"
"Tmem246","ENSMUSG00000039611","Tmem246"
"Grin3a","ENSMUSG00000039579","GRIN3A"
"Smc2os","ENSMUSG00000085763","Smc2os"
"Abca1","ENSMUSG00000015243","ABCA1"
"4930412L05Rik","ENSMUSG00000087192","4930412L05Rik"
"AI427809","ENSMUSG00000086712","AI427809"
"Gm12496","ENSMUSG00000086267","Gm12496"
"Klf4","ENSMUSG00000003032","KLF4"
"Actl7b","ENSMUSG00000070980","ACTL7B"
"Elp1","ENSMUSG00000028431","ELP1"
"Ctnnal1","ENSMUSG00000038816","CTNNAL1"
"Tmem245","ENSMUSG00000055296","TMEM245"
"Frrs1l","ENSMUSG00000045589","FRRS1L"
"Epb41l4b","ENSMUSG00000028434","EPB41L4B"
"Ptpn3","ENSMUSG00000038764","PTPN3"
"Gm12526","ENSMUSG00000073846","Gm12526"
"D630039A03Rik","ENSMUSG00000052117","C9orf152"
"Txn1","ENSMUSG00000028367","TXN"
"Svep1","ENSMUSG00000028369","SVEP1"
"Lpar1","ENSMUSG00000038668","LPAR1"
"Olfr267","ENSMUSG00000043385","OR2K2"
"Ecpas","ENSMUSG00000050812","ECPAS"
"Ptgr1","ENSMUSG00000028378","PTGR1"
"Susd1","ENSMUSG00000038578","SUSD1"
"Ptbp3","ENSMUSG00000028382","PTBP3"
"Inip","ENSMUSG00000038544","INIP"
"Slc46a2","ENSMUSG00000028386","SLC46A2"
"Zfp37","ENSMUSG00000028389","ZFP37"
"Fkbp15","ENSMUSG00000066151","FKBP15"
"Cdc26","ENSMUSG00000066149","CDC26"
"Rnf183","ENSMUSG00000063851","RNF183"
"Wdr31","ENSMUSG00000028391","WDR31"
"Hdhd3","ENSMUSG00000038422","HDHD3"
"Alad","ENSMUSG00000028393","ALAD"
"Pole3","ENSMUSG00000028394","POLE3"
"Kif12","ENSMUSG00000028357","KIF12"
"Akna","ENSMUSG00000039158","AKNA"
"Whrn","ENSMUSG00000039137","WHRN"
"Tnfsf8","ENSMUSG00000028362","TNFSF8"
"Tnc","ENSMUSG00000028364","TNC"
"Astn2","ENSMUSG00000028373","ASTN2"
"Brinp1","ENSMUSG00000028351","BRINP1"
"Cdk5rap2","ENSMUSG00000039298","CDK5RAP2"
"Megf9","ENSMUSG00000039270","MEGF9"
"Tle1","ENSMUSG00000008305","TLE1"
"Aldoart1","ENSMUSG00000059343","Aldoart1"
"Rasef","ENSMUSG00000043003","RASEF"
"A230083N12Rik","ENSMUSG00000085482","A230083N12Rik"
"Dmac1","ENSMUSG00000028398","DMAC1"
"Ptprd","ENSMUSG00000028399","PTPRD"
"Mpdz","ENSMUSG00000028402","MPDZ"
"Nfib","ENSMUSG00000008575","NFIB"
"Zdhhc21","ENSMUSG00000028403","ZDHHC21"
"Cer1","ENSMUSG00000038192","CER1"
"Frem1","ENSMUSG00000059049","FREM1"
"Ttc39b","ENSMUSG00000038172","TTC39B"
"Gm11413","ENSMUSG00000086321","Gm11413"
"Psip1","ENSMUSG00000028484","PSIP1"
"Bnc2","ENSMUSG00000028487","BNC2"
"Haus6","ENSMUSG00000038047","HAUS6"
"Plin2","ENSMUSG00000028494","PLIN2"
"Rps6","ENSMUSG00000028495","RPS6"
"Slc24a2","ENSMUSG00000037996","SLC24A2"
"Mllt3","ENSMUSG00000028496","MLLT3"
"Hacd4","ENSMUSG00000028497","HACD4"
"Klhl9","ENSMUSG00000070923","KLHL9"
"Gm13274","ENSMUSG00000086074","Gm13274"
"4930553M12Rik","ENSMUSG00000054351","4930553M12Rik"
"Gm49890","ENSMUSG00000117123","Gm49890"
"Gm49891","ENSMUSG00000117251","Gm49891"
"Gm12602","ENSMUSG00000085569","Gm12602"
"Gm12606","ENSMUSG00000087659","Gm12606"
"Cdkn2a","ENSMUSG00000044303","Cdkn2a"
"Cdkn2b","ENSMUSG00000073802","CDKN2B"
"Elavl2","ENSMUSG00000008489","ELAVL2"
"Gm12666","ENSMUSG00000066107","LARP7"
"Tusc1","ENSMUSG00000054000","TUSC1"
"Gm12655","ENSMUSG00000087128","Gm12655"
"Caap1","ENSMUSG00000028578","CAAP1"
"Plaa","ENSMUSG00000028577","PLAA"
"Lrrc19","ENSMUSG00000049799","LRRC19"
"Eqtn","ENSMUSG00000028575","EQTN"
"Mysm1","ENSMUSG00000062627","MYSM1"
"Gm12703","ENSMUSG00000052767","Gm12703"
"Jun","ENSMUSG00000052684","JUN"
"9530080O11Rik","ENSMUSG00000044125","9530080O11Rik"
"Cyp2j6","ENSMUSG00000052914","Cyp2j6"
"Cyp2j9","ENSMUSG00000015224","CYP2J2"
"E130114P18Rik","ENSMUSG00000048747","E130114P18Rik"
"Tm2d1","ENSMUSG00000028563","TM2D1"
"Kank4","ENSMUSG00000035407","KANK4"
"Dock7","ENSMUSG00000028556","DOCK7"
"Itgb3bp","ENSMUSG00000028549","ITGB3BP"
"Jak1","ENSMUSG00000028530","JAK1"
"E130102H24Rik","ENSMUSG00000086782","E130102H24Rik"
"Insl5","ENSMUSG00000066090","INSL5"
"Wdr78","ENSMUSG00000035126","Wdr78"
"Slc35d1","ENSMUSG00000028521","SLC35D1"
"Prkaa2","ENSMUSG00000028518","PRKAA2"
"Pcsk9","ENSMUSG00000044254","PCSK9"
"2700068H02Rik","ENSMUSG00000086172","2700068H02Rik"
"Gm12744","ENSMUSG00000085023","Gm12744"
"Ttc4","ENSMUSG00000025413","TTC4"
"Acot11","ENSMUSG00000034853","ACOT11"
"Mrpl37","ENSMUSG00000028622","MRPL37"
"Tceanc2","ENSMUSG00000028619","TCEANC2"
"Lrrc42","ENSMUSG00000028617","LRRC42"
"Dio1","ENSMUSG00000034785","DIO1"
"Lrp8os3","ENSMUSG00000087200","Lrp8os3"
"Lrp8os2","ENSMUSG00000073779","Lrp8os2"
"Cpt2","ENSMUSG00000028607","CPT2"
"Podn","ENSMUSG00000028600","PODN"
"Scp2","ENSMUSG00000028603","SCP2"
"Zyg11b","ENSMUSG00000034636","ZYG11B"
"Shisal2a","ENSMUSG00000059816","SHISAL2A"
"Gpx7","ENSMUSG00000028597","GPX7"
"Prpf38a","ENSMUSG00000063800","PRPF38A"
"Gm12743","ENSMUSG00000084968","Gm12743"
"Gm17354","ENSMUSG00000091985","Gm17354"
"Zfyve9","ENSMUSG00000034557","ZFYVE9"
"Btf3l4","ENSMUSG00000028568","BTF3L4"
"8030443G20Rik","ENSMUSG00000086483","8030443G20Rik"
"Osbpl9","ENSMUSG00000028559","OSBPL9"
"Ttc39aos1","ENSMUSG00000085873","Ttc39aos1"
"Rnf11","ENSMUSG00000028557","RNF11"
"9630013D21Rik","ENSMUSG00000059027","9630013D21Rik"
"Cdkn2c","ENSMUSG00000028551","CDKN2C"
"Dmrta2os","ENSMUSG00000085256","Dmrta2os"
"Elavl4","ENSMUSG00000028546","ELAVL4"
"Slc5a9","ENSMUSG00000028544","SLC5A9"
"9130410C08Rik","ENSMUSG00000085323","9130410C08Rik"
"Foxd2","ENSMUSG00000055210","FOXD2"
"Cmpk1","ENSMUSG00000028719","CMPK1"
"Cyp4x1","ENSMUSG00000047155","CYP4X1"
"Cyp4b1","ENSMUSG00000028713","CYP4B1"
"Tex38","ENSMUSG00000044556","TEX38"
"Gm29434","ENSMUSG00000100081","Gm29434"
"Faah","ENSMUSG00000034171","FAAH"
"Nsun4","ENSMUSG00000028706","Nsun4"
"Uqcrh","ENSMUSG00000063882","UQCRHL"
"Rad54l","ENSMUSG00000028702","RAD54L"
"Lurap1","ENSMUSG00000028701","LURAP1"
"Tspan1","ENSMUSG00000028699","TSPAN1"
"Mast2","ENSMUSG00000003810","MAST2"
"Tmem69","ENSMUSG00000055900","TMEM69"
"C530005A16Rik","ENSMUSG00000085408","C530005A16Rik"
"Nasp","ENSMUSG00000028693","NASP"
"Akr1a1","ENSMUSG00000028692","AKR1A1"
"Mmachc","ENSMUSG00000028690","MMACHC"
"Toe1","ENSMUSG00000028688","TOE1"
"Hpdl","ENSMUSG00000043155","HPDL"
"Urod","ENSMUSG00000028684","UROD"
"1700021J08Rik","ENSMUSG00000086890","1700021J08Rik"
"Btbd19","ENSMUSG00000073771","BTBD19"
"Plk3","ENSMUSG00000028680","PLK3"
"Rps8","ENSMUSG00000047675","RPS8"
"Kif2c","ENSMUSG00000028678","KIF2C"
"Armh1","ENSMUSG00000060268","ARMH1"
"Rnf220","ENSMUSG00000028677","RNF220"
"Dmap1","ENSMUSG00000009640","DMAP1"
"Ccdc24","ENSMUSG00000078588","CCDC24"
"B4galt2","ENSMUSG00000028541","B4GALT2"
"Atp6v0b","ENSMUSG00000033379","ATP6V0B"
"Dph2","ENSMUSG00000028540","DPH2"
"Ipo13","ENSMUSG00000033365","IPO13"
"Artn","ENSMUSG00000028539","ARTN"
"St3gal3","ENSMUSG00000028538","ST3GAL3"
"Kdm4a","ENSMUSG00000033326","KDM4A"
"Ptprf","ENSMUSG00000033295","PTPRF"
"Szt2","ENSMUSG00000033253","SZT2"
"Cdc20","ENSMUSG00000006398","CDC20"
"Tie1","ENSMUSG00000033191","TIE1"
"Tmem125","ENSMUSG00000050854","TMEM125"
"Gm12868","ENSMUSG00000085505","Gm12868"
"Zfp691","ENSMUSG00000045268","ZNF691"
"Ermap","ENSMUSG00000028644","ERMAP"
"AU022252","ENSMUSG00000078584","C1orf50"
"Tmem269","ENSMUSG00000028642","Tmem269"
"Ybx1","ENSMUSG00000028639","YBX1"
"Ppih","ENSMUSG00000060288","Ppih"
"Ccdc30","ENSMUSG00000028637","CCDC30"
"Ppcs","ENSMUSG00000028636","PPCS"
"Rimkla","ENSMUSG00000048899","RIMKLA"
"Frg2f1","ENSMUSG00000087385","FRG2B"
"Foxo6","ENSMUSG00000052135","FOXO6"
"Ctps","ENSMUSG00000028633","CTPS1"
"Kcnq4","ENSMUSG00000028631","KCNQ4"
"Nfyc","ENSMUSG00000032897","NFYC"
"Exo5","ENSMUSG00000028629","EXO5"
